Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""This Is America""",Childish Gambino,Q1239933,United States of America,male
"""Nonstop""",Drake,Q33240,Canada,male
"""Heaven""",Kane Brown,Q21620939,United States of America,male
"""Bodak Yellow""",Cardi B,Q29033668,United States of America,female
"""Freaky Friday""",Lil Dicky featuring Chris Brown,Q16876006,United States of America,male
"""Gummo""",6ix9ine,Q44479972,United States of America,male
"""Plug Walk""",Rich the Kid,Q18637908,United States of America,male
"""Wait""",Maroon 5,Q182223,United States of America,Unknown
"""Be Careful""",Cardi B,Q29033668,United States of America,female
"""Wolves""",Selena Gomez and Marshmello,Q83287,United States of America,female
"""Bartier Cardi""",Cardi B featuring 21 Savage,Q29033668,United States of America,female
"""God Is a Woman""",Ariana Grande,Q151892,United States of America,female
"""Big Bank""","YG featuring 2 Chainz, Nicki Minaj and Big Sean",Q3076050,United States of America,male
"""Sorry Not Sorry""",Demi Lovato,Q41173,United States of America,genderfluid
"""How Long""",Charlie Puth,Q19810390,United States of America,male
"""Lights Down Low""",Max featuring Gnash,Q1190160,United States of America,male
"""Young Dumb & Broke""",Khalid,Q28816483,United States of America,male
"""One Kiss""",Calvin Harris and Dua Lipa,Q81637,Scotland,male
"""Natural""",Imagine Dragons,Q391348,United States of America,Unknown
"""You Make It Easy""",Jason Aldean,Q195439,United States of America,male
"""Shape of You""",Ed Sheeran,Q47447,United Kingdom,male
"""I Get the Bag""",Gucci Mane featuring Migos,Q206032,United States of America,male
"""No Brainer""","DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo",Q80805,United States of America,male
"""Plain Jane""",ASAP Ferg featuring Nicki Minaj,Q15648254,United States of America,male
"""Sky Walker""",Miguel featuring Travis Scott,Q73463,United States of America,male
"""Marry Me""",Thomas Rhett,Q7793491,United States of America,male
"""Eastside""","Benny Blanco, Halsey and Khalid",Q818048,United States of America,male
"""Call Out My Name""",The Weeknd,Q2121062,Canada,male
"""King's Dead""","Jay Rock, Kendrick Lamar, Future and James Blake",Q152632,United States of America,male
"""Happier""",Marshmello and Bastille,Q26334949,United States of America,male
"""Te Boté""","Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and Ozuna",Q56467651,United States of America,male
"""Simple""",Florida Georgia Line,Q3644642,United States of America,Unknown
"""Lemon""",N.E.R.D and Rihanna,Q941293,United States of America,Unknown
"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,Q6667429,United States of America,male
"""Say Something""",Justin Timberlake featuring Chris Stapleton,Q43432,United States of America,male
"""I'm Upset""",Drake,Q33240,Canada,male
"""Get Along""",Kenny Chesney,Q467526,United States of America,male
"""Moonlight""",XXXTentacion,Q28561969,United States of America,male
"""What Lovers Do""",Maroon 5 featuring SZA,Q182223,United States of America,Unknown
"""X""",Nicky Jam and J Balvin,Q1374560,United States of America,male
"""Outside Today""",YoungBoy Never Broke Again,Q36490532,United States of America,male
"""Trip""",Ella Mai,Q29033458,United Kingdom,female
"""Dura""",Daddy Yankee,Q272591,United States of America,male
"""Changes""",XXXTentacion,Q28561969,United States of America,male
"""Mercy""",Brett Young,Q25189679,United States of America,male
"""One Number Away""",Luke Combs,Q23884740,United States of America,male
"""Powerglide""",Rae Sremmurd featuring Juicy J,Q18123226,United States of America,Unknown
"""IDGAF""",Dua Lipa,Q21914464,United Kingdom,female
"""Mi Gente""",J Balvin and Willy William featuring Beyoncé,Q966845,Colombia,male
"""Believer""",Imagine Dragons,Q391348,United States of America,Unknown
