Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""iSpy""",Kyle featuring Lil Yachty,Q28606665,United States of America,male
"""Issues""",Julia Michaels,Q20051697,United States of America,female
"""Scars to Your Beautiful""",Alessia Cara,Q20090091,Italy,female
"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,Q6667429,United States of America,male
"""Slow Hands""",Niall Horan,Q775231,Republic of Ireland,male
"""Love on the Brain""",Rihanna,Q36844,Barbados,female
"""I Feel It Coming""",The Weeknd featuring Daft Punk,Q2121062,Canada,male
"""Bounce Back""",Big Sean,Q367634,United States of America,male
"""Strip That Down""",Liam Payne featuring Quavo,Q2756349,United Kingdom,male
"""Fake Love""",Drake,Q33240,Canada,male
"""Don't Wanna Know""",Maroon 5 featuring Kendrick Lamar,Q182223,United States of America,Unknown
"""Look What You Made Me Do""",Taylor Swift,Q26876,United States of America,female
"""Castle on the Hill""",Ed Sheeran,Q47447,United Kingdom,male
"""Bad Things""",Machine Gun Kelly and Camila Cabello,Q1354843,United States of America,male
"""Paris""",The Chainsmokers,Q7721993,United States of America,Unknown
"""Side to Side""",Ariana Grande featuring Nicki Minaj,Q151892,United States of America,female
"""Rockabye""",Clean Bandit featuring Sean Paul and Anne-Marie,Q11838808,United Kingdom,Unknown
"""Feel It Still""",Portugal. The Man,Q606879,United States of America,Unknown
"""Let Me Love You""",DJ Snake featuring Justin Bieber,Q16728588,France,male
"""Sorry Not Sorry""",Demi Lovato,Q41173,United States of America,genderfluid
"""Bank Account""",21 Savage,Q25095399,United States of America,male
"""Can't Stop the Feeling!""",Justin Timberlake,Q43432,United States of America,male
"""Mi Gente""",J Balvin and Willy William featuring Beyoncé,Q966845,Colombia,male
"""Thunder""",Imagine Dragons,Q391348,United States of America,Unknown
"""T-Shirt""",Migos,Q15777045,United States of America,Unknown
"""Rake It Up""",Yo Gotti featuring Nicki Minaj,Q586919,United States of America,male
"""Mercy""",Shawn Mendes,Q17198340,Canada,male
"""Tunnel Vision""",Kodak Black,Q22005867,United States of America,male
"""Rockstar""",Post Malone featuring 21 Savage,Q21621919,United States of America,male
"""In Case You Didn't Know""",Brett Young,Q25189679,United States of America,male
"""Heathens""",Twenty One Pilots,Q7857806,United States of America,Unknown
"""Now or Never""",Halsey,Q18534249,United States of America,female
"""Caroline""",Aminé,Q27830860,United States of America,male
"""Rolex""",Ayo & Teo,Q30101218,United States of America,Unknown
"""DNA""",Kendrick Lamar,Q130798,United States of America,male
"""Juju on That Beat (TZ Anthem)""",Zay Hilfigerrr & Zayion McCall,Q48739636,United States of America,Unknown
"""Swang""",Rae Sremmurd,Q18123226,United States of America,Unknown
"""Passionfruit""",Drake,Q33240,Canada,male
"""Loyalty""",Kendrick Lamar featuring Rihanna,Q130798,United States of America,male
"""Praying""",Kesha,Q33605,United States of America,female
"""Goosebumps""",Travis Scott,Q13605596,United States of America,male
"""Cold""",Maroon 5 featuring Future,Q182223,United States of America,Unknown
"""Broccoli""",DRAM featuring Lil Yachty,Q25138504,United States of America,male
"""Slide""",Calvin Harris featuring Frank Ocean and Migos,Q81637,Scotland,male
"""What Ifs""",Kane Brown featuring Lauren Alaina,Q21620939,United States of America,male
"""Chained to the Rhythm""",Katy Perry featuring Skip Marley,Q42493,United States of America,female
"""Feels""","Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean",Q81637,Scotland,male
"""All Time Low""",Jon Bellion,Q18044284,United States of America,male
"""Hurricane""",Luke Combs,Q23884740,United States of America,male
"""Too Good at Goodbyes""",Sam Smith,Q15123969,United Kingdom,non-binary
"""Young Dumb & Broke""",Khalid,Q28816483,United States of America,male
"""Magnolia""",Playboi Carti,Q27671080,United States of America,male
"""Love Galore""",SZA featuring Travis Scott,Q16210722,United States of America,female
"""Drowning""",A Boogie wit da Hoodie featuring Kodak Black,Q27927826,United States of America,male
"""Starving""",Hailee Steinfeld and Grey featuring Zedd,Q231726,United States of America,female
"""Both""",Gucci Mane featuring Drake,Q206032,United States of America,male
"""What About Us""",Pink,Q160009,United States of America,female
"""Swalla""",Jason Derulo featuring Nicki Minaj and Ty Dolla Sign,Q243639,United States of America,male
"""Slippery""",Migos featuring Gucci Mane,Q15777045,United States of America,Unknown
"""Sign of the Times""",Harry Styles,Q3626966,United Kingdom,male
"""Water Under the Bridge""",Adele,Q23215,United Kingdom,female
"""Malibu""",Miley Cyrus,Q4235,United States of America,genderfluid
"""Down""",Marian Hill,Q20858093,United States of America,Unknown
"""No Promises""",Cheat Codes featuring Demi Lovato,Q23978754,United States of America,Unknown
"""Treat You Better""",Shawn Mendes,Q17198340,Canada,male
"""I Get the Bag""",Gucci Mane featuring Migos,Q206032,United States of America,male
"""Small Town Boy""",Dustin Lynch,Q5317118,United States of America,male
"""Everyday We Lit""",YFN Lucci featuring PnB Rock,Q28000403,United States of America,male
"""Havana""",Camila Cabello featuring Young Thug,Q18810940,Cuba,female
"""What Lovers Do""",Maroon 5 featuring SZA,Q182223,United States of America,Unknown
"""Do Re Mi""",Blackbear,Q22974007,United States of America,male
"""Look at Me!""",XXXTentacion,Q28561969,United States of America,male
"""The Fighter""",Keith Urban featuring Carrie Underwood,Q315547,Australia,male
